,PassengerId,Survived,Pclass,Sex,Age,Fare,Embarked,FamilySize
770,771,0,3,male,24,10,S,0
771,772,0,3,male,48,8,S,0
772,773,0,2,female,57,11,S,0
773,774,0,3,male,45,8,C,0
774,775,1,2,female,54,23,S,4
775,776,0,3,male,18,8,S,0
776,777,0,3,male,45,8,Q,0
777,778,1,3,female,5,13,S,0
778,779,0,3,male,45,8,Q,0
779,780,1,1,female,43,212,S,1
780,781,1,3,female,13,8,C,0
781,782,1,1,female,17,57,S,1
782,783,0,1,male,29,30,S,0
783,784,0,3,male,45,24,S,3
784,785,0,3,male,25,8,S,0
785,786,0,3,male,25,8,S,0
786,787,1,3,female,18,8,S,0
787,788,0,3,male,8,30,Q,5
788,789,1,3,male,1,21,S,3
789,790,0,1,male,46,80,C,0
790,791,0,3,male,45,8,Q,0
791,792,0,2,male,16,26,S,0
792,793,0,3,female,45,70,S,10
793,794,0,1,male,45,31,C,0
794,795,0,3,male,25,8,S,0
795,796,0,2,male,39,13,S,0
796,797,1,1,female,49,26,S,0
797,798,1,3,female,31,9,S,0
798,799,0,3,male,30,8,C,0
799,800,0,3,female,30,25,S,2
800,801,0,2,male,34,13,S,0
801,802,1,2,female,31,27,S,2
802,803,1,1,male,11,120,S,3
803,804,1,3,male,42,9,C,1
804,805,1,3,male,27,7,S,0
805,806,0,3,male,31,8,S,0
806,807,0,1,male,39,0,S,0
807,808,0,3,female,18,8,S,0
808,809,0,2,male,39,13,S,0
809,810,1,1,female,33,54,S,1
810,811,0,3,male,26,8,S,0
811,812,0,3,male,39,25,S,0
812,813,0,2,male,35,11,S,0
813,814,0,3,female,6,32,S,6
814,815,0,3,male,305,9,S,0
815,816,0,1,male,45,0,S,0
816,817,0,3,female,23,8,S,0
817,818,0,2,male,31,38,C,2
818,819,0,3,male,43,7,S,0
819,820,0,3,male,10,28,S,5
820,821,1,1,female,52,94,S,2
821,822,1,3,male,27,9,S,0
822,823,0,1,male,38,0,S,0
823,824,1,3,female,27,13,S,1
824,825,0,3,male,2,40,S,5
825,826,0,3,male,45,7,Q,0
826,827,0,3,male,45,57,S,0
827,828,1,2,male,1,38,C,2
828,829,1,3,male,45,8,Q,0
830,831,1,3,female,15,15,C,1
831,832,1,2,male,83,19,S,2
832,833,0,3,male,45,8,C,0
833,834,0,3,male,23,8,S,0
834,835,0,3,male,18,9,S,0
835,836,1,1,female,39,84,C,2
836,837,0,3,male,21,9,S,0
837,838,0,3,male,45,9,S,0
838,839,1,3,male,32,57,S,0
839,840,1,1,male,45,30,C,0
840,841,0,3,male,20,8,S,0
841,842,0,2,male,16,11,S,0
842,843,1,1,female,30,31,C,0
843,844,0,3,male,345,7,C,0
844,845,0,3,male,17,9,S,0
845,846,0,3,male,42,8,S,0
846,847,0,3,male,45,70,S,10
847,848,0,3,male,35,8,C,0
848,849,0,2,male,28,33,S,1
849,850,1,1,female,45,90,C,1
850,851,0,3,male,4,32,S,6
851,852,0,3,male,74,8,S,0
852,853,0,3,female,9,16,C,2
853,854,1,1,female,16,40,S,1
854,855,0,2,female,44,26,S,1
855,856,1,3,female,18,10,S,1
856,857,1,1,female,45,165,S,2
857,858,1,1,male,51,27,S,0
858,859,1,3,female,24,20,C,3
859,860,0,3,male,45,8,C,0
860,861,0,3,male,41,15,S,2
861,862,0,2,male,21,12,S,1
862,863,1,1,female,48,26,S,0
863,864,0,3,female,45,70,S,10
864,865,0,2,male,24,13,S,0
865,866,1,2,female,42,13,S,0
866,867,1,2,female,27,14,C,1
867,868,0,1,male,31,51,S,0
868,869,0,3,male,45,10,S,0
869,870,1,3,male,4,12,S,2
870,871,0,3,male,26,8,S,0
871,872,1,1,female,47,53,S,2
872,873,0,1,male,33,5,S,0
873,874,0,3,male,47,9,S,0
874,875,1,2,female,28,24,C,1
875,876,1,3,female,15,8,C,0
876,877,0,3,male,20,10,S,0
877,878,0,3,male,19,8,S,0
878,879,0,3,male,45,8,S,0
879,880,1,1,female,56,84,C,1
880,881,1,2,female,25,26,S,1
881,882,0,3,male,33,8,S,0
882,883,0,3,female,22,11,S,0
883,884,0,2,male,28,11,S,0
884,885,0,3,male,25,8,S,0
885,886,0,3,female,39,30,Q,5
886,887,0,2,male,27,13,S,0
887,888,1,1,female,19,30,S,0
888,889,0,3,female,45,24,S,3
889,890,1,1,male,26,30,C,0
890,891,0,3,male,32,8,Q,0
891,1000,1,1,male,38,90,S,1
